frame,id,class_id,class_name,postTime,lon,lat,sog,cog
31,3,0,ship,2026-03-07T12:59:36,119.38635059,32.224749691,12.531,140.98
32,3,0,ship,2026-03-07T12:59:38,119.386436641,32.224659874,12.5086,140.98
33,3,0,ship,2026-03-07T12:59:40,119.386522553,32.22457023,12.4861,140.97
34,3,0,ship,2026-03-07T12:59:42,119.386608336,32.224480762,12.464,140.95
35,3,0,ship,2026-03-07T12:59:44,119.386694003,32.22439147,12.4425,140.94
36,3,0,ship,2026-03-07T12:59:46,119.386779568,32.224302352,12.4219,140.92
37,3,0,ship,2026-03-07T12:59:48,119.386865048,32.224213404,12.4027,140.89
38,3,0,ship,2026-03-07T12:59:50,119.386950461,32.224124621,12.3851,140.86
39,3,0,ship,2026-03-07T12:59:52,119.387035827,32.224035992,12.3694,140.83
40,3,0,ship,2026-03-07T12:59:54,119.387121167,32.223947508,12.3558,140.79
41,3,0,ship,2026-03-07T12:59:56,119.387206504,32.223859157,12.3445,140.75
42,3,0,ship,2026-03-07T12:59:58,119.387291861,32.223770924,12.3357,140.7
43,3,0,ship,2026-03-07T13:00:00,119.387377263,32.223682795,12.3296,140.66
44,3,0,ship,2026-03-07T13:00:02,119.387462733,32.223594753,12.3263,140.6
45,3,0,ship,2026-03-07T13:00:04,119.387548296,32.223506783,12.3257,140.55
46,3,0,ship,2026-03-07T13:00:06,119.387633977,32.223418868,12.328,140.5
47,3,0,ship,2026-03-07T13:00:08,119.387719797,32.22333099,12.333,140.44
48,3,0,ship,2026-03-07T13:00:10,119.387805781,32.223243135,12.3407,140.38
49,3,0,ship,2026-03-07T13:00:12,119.387891948,32.223155284,12.351,140.31
50,3,0,ship,2026-03-07T13:00:14,119.38797832,32.223067425,12.3637,140.25
51,3,0,ship,2026-03-07T13:00:16,119.388064912,32.222979542,12.3786,140.19
52,3,0,ship,2026-03-07T13:00:18,119.388151742,32.222891623,12.3955,140.12
53,3,0,ship,2026-03-07T13:00:20,119.388238823,32.222803657,12.4141,140.05
54,3,0,ship,2026-03-07T13:00:22,119.388326165,32.222715636,12.4342,139.99
55,3,0,ship,2026-03-07T13:00:24,119.388413777,32.22262755,12.4553,139.92
56,3,0,ship,2026-03-07T13:00:26,119.388501664,32.222539396,12.4772,139.86
57,3,0,ship,2026-03-07T13:00:28,119.388589828,32.222451169,12.4996,139.79
58,3,0,ship,2026-03-07T13:00:30,119.388678269,32.222362868,12.5221,139.72
59,3,0,ship,2026-03-07T13:00:32,119.388766983,32.222274494,12.5443,139.66
60,3,0,ship,2026-03-07T13:00:34,119.388855964,32.222186049,12.5659,139.6
61,3,0,ship,2026-03-07T13:00:36,119.388945202,32.22209754,12.5866,139.54
62,3,0,ship,2026-03-07T13:00:38,119.389034686,32.222008971,12.606,139.48
63,3,0,ship,2026-03-07T13:00:40,119.389124399,32.221920352,12.6239,139.42
64,3,0,ship,2026-03-07T13:00:42,119.389214324,32.221831692,12.6399,139.37
65,3,0,ship,2026-03-07T13:00:44,119.389304443,32.221743003,12.6538,139.32
66,3,0,ship,2026-03-07T13:00:46,119.389394732,32.221654297,12.6653,139.27
67,3,0,ship,2026-03-07T13:00:48,119.389485169,32.221565588,12.6744,139.22
68,3,0,ship,2026-03-07T13:00:50,119.389575729,32.221476889,12.6809,139.18
69,3,0,ship,2026-03-07T13:00:52,119.389666385,32.221388216,12.6846,139.14
70,3,0,ship,2026-03-07T13:00:54,119.389757111,32.221299583,12.6856,139.11
71,3,0,ship,2026-03-07T13:00:56,119.38984788,32.221211004,12.6837,139.08
72,3,0,ship,2026-03-07T13:00:58,119.389938664,32.221122493,12.679,139.05
73,3,0,ship,2026-03-07T13:01:00,119.390029437,32.221034064,12.6717,139.03
74,3,0,ship,2026-03-07T13:01:02,119.390120172,32.220945728,12.6617,139.01
75,3,0,ship,2026-03-07T13:01:04,119.390210843,32.220857499,12.6493,139.0
76,3,0,ship,2026-03-07T13:01:06,119.390301427,32.220769384,12.6347,138.99
77,3,0,ship,2026-03-07T13:01:08,119.390391901,32.220681392,12.6181,138.98
78,3,0,ship,2026-03-07T13:01:10,119.390482245,32.220593529,12.5996,138.98
79,3,0,ship,2026-03-07T13:01:12,119.390572439,32.220505801,12.5798,138.98
80,3,0,ship,2026-03-07T13:01:14,119.390662469,32.220418208,12.5588,138.99
81,3,0,ship,2026-03-07T13:01:16,119.390752319,32.220330751,12.5369,139.0
82,3,0,ship,2026-03-07T13:01:18,119.390841978,32.220243428,12.5146,139.02
83,3,0,ship,2026-03-07T13:01:20,119.390931439,32.220156234,12.4921,139.04
84,3,0,ship,2026-03-07T13:01:22,119.391020694,32.220069163,12.4698,139.07
85,3,0,ship,2026-03-07T13:01:24,119.391109742,32.219982204,12.4481,139.1
86,3,0,ship,2026-03-07T13:01:26,119.391198582,32.219895347,12.4273,139.13
87,3,0,ship,2026-03-07T13:01:28,119.391287215,32.219808579,12.4077,139.17
88,3,0,ship,2026-03-07T13:01:30,119.391375646,32.219721884,12.3896,139.21
89,3,0,ship,2026-03-07T13:01:32,119.391463883,32.219635246,12.3734,139.25
90,3,0,ship,2026-03-07T13:01:34,119.391551934,32.219548646,12.3592,139.3
91,3,0,ship,2026-03-07T13:01:36,119.39163981,32.219462063,12.3473,139.35
92,3,0,ship,2026-03-07T13:01:38,119.391727524,32.219375479,12.3378,139.4
93,3,0,ship,2026-03-07T13:01:40,119.391815091,32.21928887,12.331,139.46
94,3,0,ship,2026-03-07T13:01:42,119.391902525,32.219202214,12.3269,139.52
95,3,0,ship,2026-03-07T13:01:44,119.391989842,32.219115491,12.3256,139.58
96,3,0,ship,2026-03-07T13:01:46,119.392077059,32.219028677,12.3271,139.64
97,3,0,ship,2026-03-07T13:01:48,119.392164192,32.218941752,12.3314,139.7
98,3,0,ship,2026-03-07T13:01:50,119.392251259,32.218854694,12.3384,139.77
99,3,0,ship,2026-03-07T13:01:52,119.392338276,32.218767484,12.348,139.83
100,3,0,ship,2026-03-07T13:01:54,119.392425259,32.218680104,12.3601,139.9
101,3,0,ship,2026-03-07T13:01:56,119.392512223,32.218592537,12.3744,139.96
102,3,0,ship,2026-03-07T13:01:58,119.392599181,32.218504768,12.3908,140.03
103,3,0,ship,2026-03-07T13:02:00,119.392686146,32.218416784,12.409,140.1
104,3,0,ship,2026-03-07T13:02:02,119.392773129,32.218328577,12.4287,140.16
105,3,0,ship,2026-03-07T13:02:04,119.392860139,32.218240138,12.4496,140.23
106,3,0,ship,2026-03-07T13:02:06,119.392947185,32.218151461,12.4714,140.29
107,3,0,ship,2026-03-07T13:02:08,119.393034271,32.218062546,12.4937,140.35
